Date,PrDec,PrInc,PredictedPrInc,PredictedPrDec
2010-03-31,0.16,0.1092957772,0.4730755090713501,0.3735066056251526
2010-04-15,0.15,0.1030720939,0.47311025857925415,0.37345224618911743
2010-04-30,0.16,0.1426098118,0.4731360673904419,0.3735235333442688
2010-05-14,0.21,0.1729342984,0.47315505146980286,0.3734702169895172
2010-05-28,0.21,0.2016939394,0.4731275141239166,0.3734511137008667
2010-06-15,0.19,0.1771329044,0.47306710481643677,0.3734203577041626
2010-06-30,0.22,0.2477749162,0.4730435311794281,0.3735140264034271
2010-07-15,0.2,0.2058004114,0.4731024503707886,0.3734895586967468
2010-07-30,0.18,0.1865120049,0.47310671210289,0.3734458386898041
2010-08-13,0.2,0.216516377,0.47295308113098145,0.3734017014503479
2010-08-31,0.2,0.2280584837,0.4728907346725464,0.37360280752182007
